ID Pedido,Data,Produto,Categoria,Quantidade,Valor Unitário
101,2026-10-23,Cadeira Gamer,Móveis,0,1200.0
102,2026-03-06,Cadeira Gamer,Móveis,2,1200.0
103,2026-06-22,Teclado Mecânico,Periféricos,3,350.0
104,2026-12-08,Cadeira Gamer,Móveis,1,1200.0
105,2026-03-14,Headset,Periféricos,1,250.0
106,2026-08-27,Cadeira Gamer,Móveis,1,1200.0
107,2026-02-24,Cadeira Gamer,Móveis,1,1200.0
108,2026-05-14,Headset,Periféricos,1,250.0
109,2026-02-08,Cadeira Gamer,Móveis,3,1200.0
110,2026-02-05,Mouse Gamer,Periféricos,1,150.5
111,2026-05-24,Teclado Mecânico,Periféricos,2,350.0
112,2026-01-25,Headset,Periféricos,1,250.0
113,2026-10-16,Mouse Gamer,Periféricos,1,150.5
114,2026-02-20,Headset,Periféricos,1,250.0
115,2026-01-15,Cabo HDMI,Acessórios,2,25.0
116,2026-05-25,Cadeira Gamer,Móveis,2,1200.0
117,2026-05-23,Cabo HDMI,Acessórios,1,25.0
118,2026-03-18,Mouse Gamer,Periféricos,1,150.5
119,2026-03-22,Mouse Gamer,Periféricos,3,150.5
120,2026-07-20,Mouse Gamer,Periféricos,2,150.5
121,2026-08-12,Teclado Mecânico,Periféricos,1,350.0
122,2026-04-03,Mouse Gamer,Periféricos,1,150.5
123,2026-11-12,Monitor 24p,Monitores,3,800.0
124,2026-05-29,Mouse Gamer,Periféricos,2,150.5
125,2026-05-10,Teclado Mecânico,Periféricos,1,350.0
126,2026-01-16,Headset,Periféricos,1,250.0
127,2026-04-29,Headset,Periféricos,1,250.0
128,2026-02-23,Headset,Periféricos,1,250.0
129,2026-10-19,Cabo HDMI,Acessórios,1,25.0
130,2026-06-04,Headset,Periféricos,2,250.0
131,2026-02-09,Mouse Gamer,Periféricos,2,150.5
132,2026-01-27,Headset,Periféricos,0,250.0
133,2026-07-07,Cabo HDMI,Acessórios,1,25.0
134,2026-04-17,Headset,Periféricos,1,250.0
135,2026-08-24,Cadeira Gamer,Móveis,1,1200.0
136,2026-04-11,Monitor 24p,Monitores,1,800.0
137,2026-01-11,Cabo HDMI,Acessórios,1,25.0
138,2026-04-09,Monitor 24p,Monitores,1,800.0
139,2026-09-18,Headset,Periféricos,2,250.0
140,2026-09-21,Headset,Periféricos,-1,250.0
141,2026-09-28,Cabo HDMI,Acessórios,1,25.0
142,2026-02-13,Mouse Gamer,Periféricos,1,150.5
143,2026-08-09,Teclado Mecânico,Periféricos,1,350.0
144,2026-10-27,Headset,Periféricos,1,250.0
145,2026-01-22,Mouse Gamer,Periféricos,1,150.5
146,2026-02-04,Mouse Gamer,Periféricos,1,150.5
147,2026-11-03,Headset,Periféricos,1,250.0
148,2026-02-27,Headset,Periféricos,1,250.0
149,2026-08-08,Teclado Mecânico,Periféricos,1,350.0
150,2026-06-11,Teclado Mecânico,Periféricos,1,350.0
151,2026-10-03,Teclado Mecânico,Periféricos,1,350.0
152,2026-03-12,Monitor 24p,Monitores,1,800.0
153,2026-06-30,Monitor 24p,Monitores,1,800.0
154,2026-06-26,Cadeira Gamer,Móveis,1,1200.0
155,2026-05-23,Cabo HDMI,Acessórios,0,25.0
156,2026-08-24,Headset,Periféricos,1,250.0
157,2026-01-28,Mouse Gamer,Periféricos,2,150.5
158,2026-06-05,Headset,Periféricos,1,250.0
159,2026-04-11,Headset,Periféricos,1,250.0
160,2026-05-05,Cabo HDMI,Acessórios,1,25.0
161,2026-07-13,Monitor 24p,Monitores,1,800.0
162,2026-06-27,Teclado Mecânico,Periféricos,2,350.0
163,2026-05-20,Cabo HDMI,Acessórios,-1,25.0
164,2026-04-22,Cadeira Gamer,Móveis,1,1200.0
165,2026-08-12,Teclado Mecânico,Periféricos,1,350.0
166,2026-04-23,Monitor 24p,Monitores,2,800.0
167,2026-09-26,Headset,Periféricos,1,250.0
168,2026-08-04,Monitor 24p,Monitores,-1,800.0
169,2026-11-03,Teclado Mecânico,Periféricos,1,350.0
170,2026-03-08,Monitor 24p,Monitores,3,800.0
171,2026-07-27,Cabo HDMI,Acessórios,1,25.0
172,2026-02-14,Headset,Periféricos,2,250.0
173,2026-06-12,Cabo HDMI,Acessórios,1,25.0
174,2026-01-22,Mouse Gamer,Periféricos,-1,150.5
175,2026-02-22,Teclado Mecânico,Periféricos,1,350.0
176,2026-12-11,Headset,Periféricos,1,250.0
177,2026-05-22,Cadeira Gamer,Móveis,1,1200.0
178,2026-05-06,Teclado Mecânico,Periféricos,3,350.0
179,2026-06-26,Headset,Periféricos,0,250.0
180,2026-11-25,Mouse Gamer,Periféricos,1,150.5
181,2026-03-01,Teclado Mecânico,Periféricos,2,350.0
182,2026-03-22,Mouse Gamer,Periféricos,2,150.5
183,2026-08-29,Mouse Gamer,Periféricos,1,150.5
184,2026-12-01,Cadeira Gamer,Móveis,1,1200.0
185,2026-08-26,Cabo HDMI,Acessórios,2,25.0
186,2026-04-15,Cabo HDMI,Acessórios,1,25.0
187,2026-07-19,Monitor 24p,Monitores,1,800.0
188,2026-06-28,Headset,Periféricos,1,250.0
189,2026-08-22,Monitor 24p,Monitores,1,800.0
190,2026-04-25,Cadeira Gamer,Móveis,2,1200.0
191,2026-03-16,Mouse Gamer,Periféricos,2,150.5
192,2026-10-05,Headset,Periféricos,2,250.0
193,2026-02-04,Cabo HDMI,Acessórios,1,25.0
194,2026-03-27,Teclado Mecânico,Periféricos,1,350.0
195,2026-08-15,Headset,Periféricos,1,250.0
196,2026-08-03,Cadeira Gamer,Móveis,1,1200.0
197,2026-11-16,Mouse Gamer,Periféricos,1,150.5
198,2026-01-26,Teclado Mecânico,Periféricos,1,350.0
199,2026-07-27,Headset,Periféricos,1,250.0
200,2026-10-05,Cadeira Gamer,Móveis,3,1200.0
201,2026-10-03,Cadeira Gamer,Móveis,1,1200.0
202,2026-03-30,Teclado Mecânico,Periféricos,1,350.0
203,2026-04-19,Mouse Gamer,Periféricos,1,150.5
204,2026-02-16,Mouse Gamer,Periféricos,-1,150.5
205,2026-08-26,Headset,Periféricos,1,250.0
206,2026-01-25,Cabo HDMI,Acessórios,1,25.0
207,2026-02-12,Cabo HDMI,Acessórios,2,25.0
208,2026-11-11,Teclado Mecânico,Periféricos,1,350.0
209,2026-03-20,Monitor 24p,Monitores,2,800.0
210,2026-08-23,Headset,Periféricos,1,250.0
211,2026-02-06,Mouse Gamer,Periféricos,-1,150.5
212,2026-09-07,Cabo HDMI,Acessórios,1,25.0
213,2026-11-13,Monitor 24p,Monitores,1,800.0
214,2026-05-03,Cabo HDMI,Acessórios,1,25.0
215,2026-09-18,Cabo HDMI,Acessórios,1,25.0
216,2026-07-12,Teclado Mecânico,Periféricos,1,350.0
217,2026-01-02,Cabo HDMI,Acessórios,0,25.0
218,2026-07-02,Teclado Mecânico,Periféricos,1,350.0
219,2026-11-11,Cabo HDMI,Acessórios,1,25.0
220,2026-07-10,Mouse Gamer,Periféricos,2,150.5
221,2026-01-21,Monitor 24p,Monitores,2,800.0
222,2026-05-15,Cabo HDMI,Acessórios,2,25.0
223,2026-12-07,Monitor 24p,Monitores,1,800.0
224,2026-10-01,Cadeira Gamer,Móveis,1,1200.0
225,2026-04-17,Teclado Mecânico,Periféricos,1,350.0
226,2026-04-30,Monitor 24p,Monitores,1,800.0
227,2026-06-04,Cadeira Gamer,Móveis,0,1200.0
228,2026-09-09,Monitor 24p,Monitores,1,800.0
229,2026-08-03,Cabo HDMI,Acessórios,1,25.0
230,2026-02-26,Cadeira Gamer,Móveis,2,1200.0
231,2026-01-22,Cabo HDMI,Acessórios,1,25.0
232,2026-12-14,Monitor 24p,Monitores,1,800.0
233,2026-04-09,Headset,Periféricos,1,250.0
234,2026-11-02,Headset,Periféricos,1,250.0
235,2026-05-16,Cadeira Gamer,Móveis,1,1200.0
236,2026-01-25,Headset,Periféricos,3,250.0
237,2026-03-24,Cadeira Gamer,Móveis,1,1200.0
238,2026-08-02,Teclado Mecânico,Periféricos,1,350.0
239,2026-08-26,Mouse Gamer,Periféricos,1,150.5
240,2026-02-10,Headset,Periféricos,1,250.0
241,2026-10-11,Teclado Mecânico,Periféricos,1,350.0
242,2026-07-08,Cadeira Gamer,Móveis,1,1200.0
243,2026-09-26,Mouse Gamer,Periféricos,0,150.5
244,2026-08-14,Teclado Mecânico,Periféricos,1,350.0
245,2026-01-08,Cadeira Gamer,Móveis,1,1200.0
246,2026-09-21,Cadeira Gamer,Móveis,1,1200.0
247,2026-09-06,Cabo HDMI,Acessórios,2,25.0
248,2026-01-06,Teclado Mecânico,Periféricos,2,350.0
249,2026-10-27,Monitor 24p,Monitores,2,800.0
250,2026-05-18,Teclado Mecânico,Periféricos,1,350.0
251,2026-08-01,Monitor 24p,Monitores,2,800.0
252,2026-01-28,Teclado Mecânico,Periféricos,1,350.0
253,2026-12-19,Mouse Gamer,Periféricos,0,150.5
254,2026-08-26,Teclado Mecânico,Periféricos,1,350.0
255,2026-09-10,Mouse Gamer,Periféricos,1,150.5
256,2026-04-15,Teclado Mecânico,Periféricos,1,350.0
257,2026-06-23,Cabo HDMI,Acessórios,1,25.0
258,2026-07-21,Mouse Gamer,Periféricos,1,150.5
259,2026-07-31,Headset,Periféricos,1,250.0
260,2026-06-05,Cabo HDMI,Acessórios,1,25.0
261,2026-04-05,Headset,Periféricos,1,250.0
262,2026-05-07,Monitor 24p,Monitores,1,800.0
263,2026-02-28,Headset,Periféricos,1,250.0
264,2026-02-20,Teclado Mecânico,Periféricos,1,350.0
265,2026-03-16,Mouse Gamer,Periféricos,1,150.5
266,2026-12-06,Cabo HDMI,Acessórios,0,25.0
267,2026-09-08,Monitor 24p,Monitores,1,800.0
268,2026-12-18,Monitor 24p,Monitores,1,800.0
269,2026-11-30,Monitor 24p,Monitores,1,800.0
270,2026-01-19,Cabo HDMI,Acessórios,-1,25.0
271,2026-05-27,Cabo HDMI,Acessórios,1,25.0
272,2026-01-25,Teclado Mecânico,Periféricos,1,350.0
273,2026-04-24,Teclado Mecânico,Periféricos,-1,350.0
274,2026-01-23,Monitor 24p,Monitores,2,800.0
275,2026-06-24,Cadeira Gamer,Móveis,1,1200.0
276,2026-04-09,Cadeira Gamer,Móveis,1,1200.0
277,2026-03-16,Mouse Gamer,Periféricos,2,150.5
278,2026-07-05,Teclado Mecânico,Periféricos,1,350.0
279,2026-12-02,Mouse Gamer,Periféricos,1,150.5
280,2026-12-28,Teclado Mecânico,Periféricos,1,350.0
281,2026-11-15,Headset,Periféricos,2,250.0
282,2026-07-06,Monitor 24p,Monitores,1,800.0
283,2026-02-14,Teclado Mecânico,Periféricos,2,350.0
284,2026-09-22,Headset,Periféricos,3,250.0
285,2026-03-31,Cabo HDMI,Acessórios,2,25.0
286,2026-06-26,Monitor 24p,Monitores,1,800.0
287,2026-10-24,Cadeira Gamer,Móveis,1,1200.0
288,2026-04-05,Cadeira Gamer,Móveis,2,1200.0
289,2026-05-23,Headset,Periféricos,1,250.0
290,2026-05-16,Teclado Mecânico,Periféricos,1,350.0
291,2026-04-13,Headset,Periféricos,2,250.0
292,2026-09-13,Headset,Periféricos,1,250.0
293,2026-08-22,Mouse Gamer,Periféricos,1,150.5
294,2026-10-10,Cadeira Gamer,Móveis,1,1200.0
295,2026-09-25,Cadeira Gamer,Móveis,1,1200.0
296,2026-08-15,Cabo HDMI,Acessórios,2,25.0
297,2026-12-13,Headset,Periféricos,1,250.0
298,2026-11-27,Cabo HDMI,Acessórios,1,25.0
299,2026-06-03,Monitor 24p,Monitores,3,800.0
300,2026-05-11,Cadeira Gamer,Móveis,1,1200.0
301,2026-06-02,Mouse Gamer,Periféricos,1,150.5
302,2026-11-26,Cabo HDMI,Acessórios,1,25.0
303,2026-07-18,Mouse Gamer,Periféricos,1,150.5
304,2026-06-08,Cadeira Gamer,Móveis,1,1200.0
305,2026-03-05,Cadeira Gamer,Móveis,1,1200.0
306,2026-09-10,Mouse Gamer,Periféricos,1,150.5
307,2026-06-29,Teclado Mecânico,Periféricos,1,350.0
308,2026-11-07,Headset,Periféricos,1,250.0
309,2026-09-04,Teclado Mecânico,Periféricos,1,350.0
310,2026-01-08,Mouse Gamer,Periféricos,1,150.5
311,2026-03-24,Cabo HDMI,Acessórios,1,25.0
312,2026-11-05,Headset,Periféricos,2,250.0
313,2026-06-10,Headset,Periféricos,1,250.0
314,2026-10-07,Cadeira Gamer,Móveis,1,1200.0
315,2026-08-23,Cabo HDMI,Acessórios,1,25.0
316,2026-07-06,Headset,Periféricos,1,250.0
317,2026-02-05,Teclado Mecânico,Periféricos,1,350.0
318,2026-08-06,Monitor 24p,Monitores,1,800.0
319,2026-06-18,Cadeira Gamer,Móveis,-1,1200.0
320,2026-04-20,Headset,Periféricos,1,250.0
321,2026-01-31,Monitor 24p,Monitores,1,800.0
322,2026-02-12,Cabo HDMI,Acessórios,-1,25.0
323,2026-01-19,Monitor 24p,Monitores,2,800.0
324,2026-04-26,Cabo HDMI,Acessórios,1,25.0
325,2026-07-10,Teclado Mecânico,Periféricos,1,350.0
326,2026-06-05,Headset,Periféricos,2,250.0
327,2026-09-10,Cabo HDMI,Acessórios,1,25.0
328,2026-05-12,Cadeira Gamer,Móveis,1,1200.0
329,2026-05-08,Teclado Mecânico,Periféricos,1,350.0
330,2026-02-26,Cabo HDMI,Acessórios,3,25.0
331,2026-10-24,Cabo HDMI,Acessórios,3,25.0
332,2026-02-23,Headset,Periféricos,-1,250.0
333,2026-02-13,Cabo HDMI,Acessórios,-1,25.0
334,2026-07-29,Mouse Gamer,Periféricos,1,150.5
335,2026-02-07,Teclado Mecânico,Periféricos,1,350.0
336,2026-02-24,Cabo HDMI,Acessórios,2,25.0
337,2026-10-13,Headset,Periféricos,1,250.0
338,2026-08-20,Cabo HDMI,Acessórios,1,25.0
339,2026-05-04,Cabo HDMI,Acessórios,3,25.0
340,2026-06-16,Cadeira Gamer,Móveis,2,1200.0
341,2026-06-09,Headset,Periféricos,0,250.0
342,2026-08-26,Cabo HDMI,Acessórios,1,25.0
343,2026-02-19,Monitor 24p,Monitores,1,800.0
344,2026-07-13,Cabo HDMI,Acessórios,1,25.0
345,2026-11-08,Mouse Gamer,Periféricos,1,150.5
346,2026-05-11,Cadeira Gamer,Móveis,1,1200.0
347,2026-08-28,Monitor 24p,Monitores,0,800.0
348,2026-01-09,Cadeira Gamer,Móveis,3,1200.0
349,2026-10-02,Headset,Periféricos,1,250.0
350,2026-12-27,Cadeira Gamer,Móveis,1,1200.0
351,2026-04-27,Headset,Periféricos,2,250.0
352,2026-10-02,Cabo HDMI,Acessórios,1,25.0
353,2026-03-21,Monitor 24p,Monitores,1,800.0
354,2026-05-18,Mouse Gamer,Periféricos,1,150.5
355,2026-08-29,Cadeira Gamer,Móveis,1,1200.0
356,2026-09-14,Teclado Mecânico,Periféricos,1,350.0
357,2026-03-24,Teclado Mecânico,Periféricos,1,350.0
358,2026-09-04,Cabo HDMI,Acessórios,-1,25.0
359,2026-02-25,Headset,Periféricos,1,250.0
360,2026-01-03,Teclado Mecânico,Periféricos,1,350.0
361,2026-12-15,Mouse Gamer,Periféricos,-1,150.5
362,2026-07-30,Cabo HDMI,Acessórios,1,25.0
363,2026-05-23,Teclado Mecânico,Periféricos,-1,350.0
364,2026-10-05,Headset,Periféricos,1,250.0
365,2026-10-14,Cadeira Gamer,Móveis,1,1200.0
366,2026-04-12,Teclado Mecânico,Periféricos,2,350.0
367,2026-07-08,Cabo HDMI,Acessórios,1,25.0
368,2026-01-25,Headset,Periféricos,1,250.0
369,2026-06-17,Cadeira Gamer,Móveis,2,1200.0
370,2026-10-31,Headset,Periféricos,1,250.0
371,2026-02-13,Monitor 24p,Monitores,3,800.0
372,2026-04-19,Monitor 24p,Monitores,1,800.0
373,2026-09-02,Monitor 24p,Monitores,1,800.0
374,2026-09-29,Headset,Periféricos,0,250.0
375,2026-11-05,Mouse Gamer,Periféricos,1,150.5
376,2026-07-04,Cabo HDMI,Acessórios,1,25.0
377,2026-01-23,Headset,Periféricos,1,250.0
378,2026-08-05,Cadeira Gamer,Móveis,1,1200.0
379,2026-03-03,Cadeira Gamer,Móveis,1,1200.0
380,2026-06-28,Monitor 24p,Monitores,1,800.0
381,2026-06-11,Mouse Gamer,Periféricos,1,150.5
382,2026-03-17,Mouse Gamer,Periféricos,1,150.5
383,2026-03-04,Mouse Gamer,Periféricos,1,150.5
384,2026-11-08,Headset,Periféricos,1,250.0
385,2026-04-05,Monitor 24p,Monitores,-1,800.0
386,2026-08-17,Monitor 24p,Monitores,1,800.0
387,2026-06-22,Headset,Periféricos,1,250.0
388,2026-11-12,Cabo HDMI,Acessórios,2,25.0
389,2026-09-29,Headset,Periféricos,1,250.0
390,2026-06-10,Monitor 24p,Monitores,1,800.0
391,2026-06-05,Mouse Gamer,Periféricos,1,150.5
392,2026-10-08,Cadeira Gamer,Móveis,1,1200.0
393,2026-05-01,Cadeira Gamer,Móveis,1,1200.0
394,2026-03-12,Monitor 24p,Monitores,2,800.0
395,2026-10-27,Headset,Periféricos,1,250.0
396,2026-10-26,Monitor 24p,Monitores,1,800.0
397,2026-06-25,Cabo HDMI,Acessórios,2,25.0
398,2026-07-21,Cabo HDMI,Acessórios,0,25.0
399,2026-07-17,Teclado Mecânico,Periféricos,1,350.0
400,2027-01-01,Mouse Gamer,Periféricos,1,150.5
401,2026-07-13,Headset,Periféricos,1,250.0
402,2026-06-18,Cadeira Gamer,Móveis,2,1200.0
403,2026-07-28,Teclado Mecânico,Periféricos,1,350.0
404,2026-05-04,Monitor 24p,Monitores,1,800.0
405,2026-08-03,Mouse Gamer,Periféricos,1,150.5
406,2026-06-21,Mouse Gamer,Periféricos,1,150.5
407,2026-04-25,Headset,Periféricos,1,250.0
408,2026-02-24,Cabo HDMI,Acessórios,3,25.0
409,2026-09-19,Cadeira Gamer,Móveis,1,1200.0
410,2026-08-07,Teclado Mecânico,Periféricos,1,350.0
411,2026-02-28,Monitor 24p,Monitores,1,800.0
412,2026-08-04,Cadeira Gamer,Móveis,2,1200.0
413,2026-06-12,Monitor 24p,Monitores,0,800.0
414,2026-09-26,Mouse Gamer,Periféricos,1,150.5
415,2026-05-09,Mouse Gamer,Periféricos,0,150.5
416,2026-02-15,Cabo HDMI,Acessórios,1,25.0
417,2026-12-24,Cabo HDMI,Acessórios,1,25.0
418,2026-12-13,Teclado Mecânico,Periféricos,1,350.0
419,2026-12-21,Monitor 24p,Monitores,2,800.0
420,2026-05-22,Cadeira Gamer,Móveis,0,1200.0
421,2026-06-13,Cadeira Gamer,Móveis,1,1200.0
422,2026-08-08,Monitor 24p,Monitores,1,800.0
423,2026-11-26,Headset,Periféricos,2,250.0
424,2026-11-02,Teclado Mecânico,Periféricos,1,350.0
425,2026-07-06,Cabo HDMI,Acessórios,2,25.0
426,2026-03-28,Teclado Mecânico,Periféricos,1,350.0
427,2026-09-08,Monitor 24p,Monitores,2,800.0
428,2026-01-12,Monitor 24p,Monitores,1,800.0
429,2026-09-26,Mouse Gamer,Periféricos,2,150.5
430,2026-04-07,Teclado Mecânico,Periféricos,-1,350.0
431,2026-10-28,Teclado Mecânico,Periféricos,-1,350.0
432,2026-10-30,Teclado Mecânico,Periféricos,1,350.0
433,2026-06-03,Monitor 24p,Monitores,1,800.0
434,2026-06-23,Teclado Mecânico,Periféricos,1,350.0
435,2026-10-20,Cabo HDMI,Acessórios,0,25.0
436,2026-09-29,Mouse Gamer,Periféricos,1,150.5
437,2026-02-01,Teclado Mecânico,Periféricos,1,350.0
438,2026-03-11,Headset,Periféricos,1,250.0
439,2026-09-22,Cadeira Gamer,Móveis,2,1200.0
440,2026-01-14,Mouse Gamer,Periféricos,1,150.5
441,2026-08-03,Cabo HDMI,Acessórios,1,25.0
442,2026-08-08,Teclado Mecânico,Periféricos,1,350.0
443,2026-07-14,Teclado Mecânico,Periféricos,1,350.0
444,2026-10-20,Teclado Mecânico,Periféricos,1,350.0
445,2026-07-02,Cabo HDMI,Acessórios,1,25.0
446,2026-11-16,Cabo HDMI,Acessórios,1,25.0
447,2026-07-17,Cabo HDMI,Acessórios,1,25.0
448,2026-06-03,Teclado Mecânico,Periféricos,1,350.0
449,2026-02-02,Headset,Periféricos,1,250.0
450,2026-10-18,Mouse Gamer,Periféricos,1,150.5
451,2026-11-03,Monitor 24p,Monitores,1,800.0
452,2026-04-07,Headset,Periféricos,1,250.0
453,2026-11-15,Teclado Mecânico,Periféricos,0,350.0
454,2026-07-09,Headset,Periféricos,1,250.0
455,2026-06-05,Mouse Gamer,Periféricos,1,150.5
456,2026-09-16,Teclado Mecânico,Periféricos,1,350.0
457,2026-05-12,Teclado Mecânico,Periféricos,2,350.0
458,2026-05-21,Monitor 24p,Monitores,1,800.0
459,2026-04-26,Cadeira Gamer,Móveis,1,1200.0
460,2026-03-19,Headset,Periféricos,1,250.0
461,2026-06-30,Cadeira Gamer,Móveis,1,1200.0
462,2026-10-17,Cadeira Gamer,Móveis,1,1200.0
463,2026-01-29,Cadeira Gamer,Móveis,1,1200.0
464,2026-12-26,Mouse Gamer,Periféricos,3,150.5
465,2026-10-04,Headset,Periféricos,2,250.0
466,2026-12-04,Monitor 24p,Monitores,1,800.0
467,2026-03-21,Cadeira Gamer,Móveis,1,1200.0
468,2026-05-04,Cabo HDMI,Acessórios,1,25.0
469,2026-01-01,Headset,Periféricos,1,250.0
470,2026-11-02,Headset,Periféricos,1,250.0
471,2026-04-10,Monitor 24p,Monitores,0,800.0
472,2026-07-12,Teclado Mecânico,Periféricos,0,350.0
473,2026-04-16,Mouse Gamer,Periféricos,1,150.5
474,2026-09-02,Cabo HDMI,Acessórios,1,25.0
475,2026-04-26,Monitor 24p,Monitores,1,800.0
476,2026-01-17,Monitor 24p,Monitores,1,800.0
477,2026-02-16,Cadeira Gamer,Móveis,1,1200.0
478,2026-11-14,Headset,Periféricos,1,250.0
479,2026-02-27,Mouse Gamer,Periféricos,2,150.5
480,2026-02-18,Mouse Gamer,Periféricos,0,150.5
